Nom;Code;Longitude;Latitude;Population
Aast;64460;-0.0015853349341031;0.7555288144014;190
Abainville;55130;0.095886449258031;0.84701798522554;318
Abancourt;59265|59268;0.056068703884793;0.876766160392;433
Abancourt;60220;0.030809912994639;0.86739469625309;567
Abaucourt;54610;0.1092139809396;0.85340784078702;309
Abaucourt-Hautecourt;55400;0.096686387948085;0.85866804999312;111
Abbans-Dessous;25320;0.10251385046637;0.82263667886684;174
Abbans-Dessus;25440;0.10264475315632;0.82241856597355;274
Abbaretz;44170;-0.026732632091079;0.82994286158038;1511
Abbecourt;60430;0.037679722199419;0.8614169648703;670
Abbécourt;2300;0.05552571446685;0.86560092410087;447
Abbenans;25340;0.11259312456637;0.82902167415932;370
Abbeville;80132|80100;0.032051033447589;0.87452630875718;24567
Abbéville-la-Rivière;91150;0.037844551064949;0.84380854321685;262
Abbéville-lès-Conflans;54800;0.10203388225891;0.8586729102621;244
Abbeville-Saint-Lucien;60480;0.037897889188156;0.86424823800419;506
Abbévillers;25310;0.12076708167637;0.82783876458214;877
Abeilhan;34290;0.057513452131405;0.75834071303835;979
Abelcourt;70300;0.10977635733804;0.83399585986434;303
Abère;64160;-0.003039787724122;0.75731772628463;133
Abergement-la-Ronce;39500;0.093602988360369;0.82155070835333;735
Abergement-le-Grand;39600;0.099100768180458;0.81878241897921;41
Abergement-le-Petit;39800;0.099386800003911;0.81856423950691;43
Abergement-lès-Thésy;39110;0.10364346353224;0.81884546931803;53
Abidos;64150;-0.010854970742055;0.75747771568711;200
Abilly;37160;0.012716660784156;0.8192866219526;1109
Abitain;64390;-0.017230274624893;0.75783164979598;107
Abjat-sur-Bandiat;24300;0.013196626911021;0.79561804408062;624
Ablain-Saint-Nazaire;62153;0.047283884199761;0.87952472922812;1843
Ablaincourt-Pressoir;80320;0.049266769917704;0.86990119689204;227
Ablainzevelle;62116;0.04764263696573;0.87530688127269;172
Ablancourt;51240;0.078956759175532;0.85196793616464;172
Ableiges;95450;0.034596299725162;0.85675789770125;957
Ablis;78660;0.03201225324481;0.84677557098732;2705
Ablon;14600;0.0051632597394454;0.86207143670818;1047
Ablon-sur-Seine;94480;0.042183631106636;0.8504601875135;4867
Aboën;42380;0.07212088238811;0.79263157523422;234
Aboncourt;57920;0.11075084127042;0.8597637410446;346
Aboncourt;54115;0.10413313563292;0.84401214188218;123
Aboncourt-Gesincourt;70500;0.10440461993892;0.833797121468;204
Aboncourt-sur-Seille;57590;0.11060539106301;0.85202126596547;64
Abondance;74360;0.11729097401878;0.80774807705567;1294
Abondant;28570|28410;0.025176374376794;0.85151706299209;1742
Abos;64360;-0.0098126250958572;0.75675539982045;481
Abreschviller;57560;0.12383595871376;0.84889904248248;1285
Abrest;3200;0.060136295459294;0.80459675853777;2428
Abriès;5460;0.12090767993717;0.78181055251398;354
Abscon;59215;0.057595864483575;0.87850660274339;4135
Abzac;33230;-0.0021865135116039;0.78569876770549;1599
Abzac;16500;0.012270641638811;0.80463557411066;544
Accolans;25250;0.11399909885198;0.82895383013057;79
Accolay;89460;0.064756567861391;0.83182877910633;433
Accons;7160;0.076581169548911;0.78341044653884;419
Accous;64490;-0.010433194685008;0.75005042572299;434
Achain;57340;0.11506568654618;0.85369872455708;95
Achen;57410|57412;0.12539220186389;0.85598218545474;938
Achenheim;67204;0.13312013774794;0.84784702727288;2183
Achères;78260;0.036147705492837;0.85454714110135;18942
Achères;18250;0.042755715559488;0.82516741427171;354
Achères-la-Forêt;77760;0.044859812557732;0.84392971704646;1040
Achery;2800;0.059181198507418;0.86728803665142;540
Acheux-en-Amiénois;80560;0.044171368771191;0.87390572564418;514
Acheux-en-Vimeu;80210;0.029273046422041;0.8737699710076;503
Acheville;62320;0.050313966470214;0.87935501928766;457
Achey;70180;0.097908121420537;0.8303404049521;55
Achicourt;62217;0.048127452958611;0.87743521303685;7695
Achiet-le-Grand;62121;0.048592881970994;0.87493843293588;1016
Achiet-le-Petit;62121;0.048030484766607;0.87482691306523;328
Achun;58110;0.064208726496837;0.82248641000233;170
Achy;60690;0.034562371468994;0.86497548071886;288
Acigné;35690;-0.02682473377231;0.84007059688984;5246
Aclou;27800;0.012290032780498;0.85816870728873;222
Acon;27570;0.019251958230669;0.85113403384831;407
Acq;62144;0.046338491141107;0.87874901698161;502
Acqueville;50440;-0.030499627679915;0.865867573105;650
Acqueville;14220;-0.0064237890191368;0.85474108580774;178
Acquigny;27400;0.020531860966993;0.85820745628258;1438
Acquin-Westbécourt;62380;0.036457988726966;0.88536191228438;625
Acy;2200;0.059549655166609;0.86123274070189;951
Acy-en-Multien;60620;0.051584181958074;0.85700517220848;752
Acy-Romance;8300;0.075713361862952;0.86397672873106;443
Adaincourt;57580;0.11236527449036;0.8553082725409;107
Adainville;78113;0.028851270364995;0.85037290240877;824
Adam-lès-Passavant;25360;0.11101748195218;0.82550683415264;77
Adam-lès-Vercel;25530;0.11155077996047;0.82324754144188;67
Adamswiller;67320;0.12569279784955;0.85354838911354;459
Adast;65260;-0.0013526301806986;0.75002133068808;227
Adé;65100;-0.00050420817486576;0.75284774355298;674
Adelange;57380;0.11540504817046;0.85531799307889;208
Adelans-et-le-Val-de-Bithaine;70200;0.11168168265043;0.8327062906855;251
Adervielle-Pouchergues;65240;0.0070346541949169;0.74732574561174;80
Adilly;79200;-0.0054105207227944;0.81490878459467;284
Adinfer;62116;0.047220858828088;0.87602440344938;212
Adissan;34230;0.059835699473629;0.75983394746157;736
Adon;45230;0.048811048959731;0.83363713206551;198
Adriers;86430;0.013919001034326;0.80734081314597;797
Afa;20167;0.15359868139767;0.73276677656449;2055
Affieux;19260;0.030805061048029;0.79446416295933;349
Affléville;54800;0.10059398595891;0.85992859071608;196
Affoux;69170;0.076886609158808;0.80014621688209;248
Affracourt;54740;0.10770135537471;0.84582535511038;114
Affringues;62380;0.036234973952807;0.88469285963953;203
